[2025-10-29 14:30:13.278] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:13.278] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.b450328d-cb02-47f7-91ff-a3614c6bf7b1.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.336] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:14.337] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.337] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.4e6cef30-174c-48cf-b199-dde583464acf.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.482] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:14.482] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.482] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.310be929-5430-4ae9-aa96-69d4617d9338.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.744] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:14.744] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.745] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.4612839c-641d-4fd3-b5d4-1e2a69f09731.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.747] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:14.747] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:14.747] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.a8e2faf5-2098-436a-bcfd-da6de1ef0c09.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:15.685] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:15.685] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:15.685] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.3e20dc69-e96a-461f-9ce8-2ec6a2666a1f.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:16.329] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:16.330] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:16.330] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.1fada9f2-5638-4269-b8d8-3d04e895e123.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:17.148] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:17.149] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:17.149] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.c035356d-7c91-4911-a217-ea96969cae10.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:17.532] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:17.532] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:17.533] [info]  [FileSystemDriver] Writing to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json.61d0e1bb-0c64-4f2a-84cf-88074967ca8b.tmp then renaming to /home/mohrt/.config/Insomnia/version-control/projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
[2025-10-29 14:30:17.568] [info]  [sync] Activated project prj_c2e96ef32a994a1b80b9d4150767755a
[2025-10-29 14:30:17.568] [info]  [FileSystemDriver] Writing to /projects/prj_c2e96ef32a994a1b80b9d4150767755a/meta.json
